rank,list_name,entry_id,attestation_status,phase7_status,beginner_flag,beginner_rationale,display_form,ehn_spoken_form,msn_headword,current_msn_headword,gloss_en,gloss_es,part_of_speech,semantic_domain,register,variety,pedagogical_score,source_file,source_reference,source_confidence,rule_trace
1,core_ehn_250,kw::axtle::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,axtle,axtle,axtle,axtle,"no, negative response",,particle,social_interaction,EHN_colloquial,Eastern Huasteca Nahuatl,153,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::axtle::sense-1,0.95,identity
2,core_ehn_250,kw::axtlen::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,axtlen,axtlen,axtlen,axtlen,"think nothing of it, you're welcome, don't mention it",,intj,social_interaction,EHN_colloquial,Eastern Huasteca Nahuatl,153,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::axtlen::sense-1,0.95,identity
3,core_ehn_250,kw::quena::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,quena,quena,kena,quena,"yes, positive response",,particle,social_interaction,EHN_colloquial,Eastern Huasteca Nahuatl,153,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::quena::sense-1,0.95,qu > k before front vowel
4,core_ehn_250,kw::pialli::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,pialli,pialli,pialli,pialli,hello (greeting),,intj,social_interaction,EHN_colloquial,Eastern Huasteca Nahuatl,153,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::pialli::sense-1,0.95,identity
5,core_ehn_250,kw::tonalti::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tonalti,tonalti,tonalti,tonalti,good morning (greeting),,intj,social_interaction,EHN_colloquial,Eastern Huasteca Nahuatl,153,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tonalti::sense-1,0.95,identity
6,core_ehn_250,kw::quehatza-tiitztoc::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,quehatza tiitztoc,quehatza tiitztoc,kehatsa tiitstok,quehatza tiitztoc,how are you?,,intj,social_interaction,EHN_colloquial,Eastern Huasteca Nahuatl,150,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::quehatza tiitztoc::sense-1,0.95,qu > k before front vowel; z > s; hard c > k
7,core_ehn_250,kw::quehatza-tiya::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,quehatza tiya,quehatza tiya,kehatsa tiya,quehatza tiya,how's it going?,,intj,social_interaction,EHN_colloquial,Eastern Huasteca Nahuatl,150,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::quehatza tiya::sense-1,0.95,qu > k before front vowel; z > s
8,core_ehn_250,kw::tiotlaquilti::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tiotlaquilti,tiotlaquilti,tiotlakilti,tiotlaquilti,good afternoon (greeting),,intj,social_interaction,EHN_colloquial,Eastern Huasteca Nahuatl,150,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tiotlaquilti::sense-1,0.95,qu > k before front vowel
9,core_ehn_250,kw::tlapoyahualti::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tlapoyahualti,tlapoyahualti,tlapoyawalti,tlapoyahualti,good night (greeting),,intj,social_interaction,EHN_colloquial,Eastern Huasteca Nahuatl,150,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlapoyahualti::sense-1,0.95,hu> w before vowel
10,core_ehn_250,kw::tlazcamati::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tlazcamati,tlazcamati,tlaskamati,tlazcamati,thanks,,intj,social_interaction,EHN_colloquial,Eastern Huasteca Nahuatl,150,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlazcamati::sense-1,0.95,z > s; hard c > k
11,core_ehn_250,kw::ax-aqui::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,ax aqui,ax aqui,ax aki,ax aqui,nobody,,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,148,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ax aqui::sense-1,0.95,qu > k before front vowel
12,core_ehn_250,kw::miyac::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,miyac,miyac,miyak,miyac,many,,det,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,148,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::miyac::sense-1,0.95,hard c > k
13,core_ehn_250,kw::pampa::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,pampa,pampa,pampa,pampa,because,,conj,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,145,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::pampa::sense-1,0.95,identity
14,core_ehn_250,kw::ax-tleno::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,ax tleno,ax tleno,ax tleno,ax tleno,you're welcome,,intj,social_interaction,EHN_colloquial,Eastern Huasteca Nahuatl,143,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ax tleno::sense-1,0.95,identity
15,core_ehn_250,kw::achtohui::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,achtohui,achtohui,achtowi,achtohui,before,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::achtohui::sense-2,0.95,hu> w before vowel
16,core_ehn_250,kw::ahqueya::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,ahqueya,ahqueya,ahkeya,ahqueya,who?,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ahqueya::sense-1,0.95,qu > k before front vowel
17,core_ehn_250,kw::ama::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,ama,ama,ama,ama,now,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ama::sense-1,0.95,identity
18,core_ehn_250,kw::amantzi::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,amantzi,amantzi,amantsi,amantzi,right now,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::amantzi::sense-1,0.95,z > s
19,core_ehn_250,kw::ax::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,ax,ax,ax,ax,not,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ax::sense-1,0.95,identity
20,core_ehn_250,kw::aya::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,aya,aya,aya,aya,not yet,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::aya::sense-1,0.95,identity
21,core_ehn_250,kw::campa::4,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,campa,campa,kampa,campa,where,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::campa::sense-4,0.95,hard c > k
22,core_ehn_250,kw::canque::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,canque,canque,kanke,canque,where,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::canque::sense-1,0.95,qu > k before front vowel; hard c > k
23,core_ehn_250,kw::canque::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,canque,canque,kanke,canque,"whither, to where",,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::canque::sense-2,0.95,qu > k before front vowel; hard c > k
24,core_ehn_250,kw::queha::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,queha,queha,keha,queha,how,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::queha::sense-1,0.95,qu > k before front vowel
25,core_ehn_250,kw::quehatza::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,quehatza,quehatza,kehatsa,quehatza,how,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::quehatza::sense-1,0.95,qu > k before front vowel; z > s
26,core_ehn_250,kw::quentzi::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,quentzi,quentzi,kentsi,quentzi,"little, not much",,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::quentzi::sense-1,0.95,qu > k before front vowel; z > s
27,core_ehn_250,kw::quezqui::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,quezqui,quezqui,keski,quezqui,how much?,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::quezqui::sense-1,0.95,qu > k before front vowel; z > s
28,core_ehn_250,kw::moztla::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,moztla,moztla,mostla,moztla,tomorrow,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::moztla::sense-2,0.95,z > s
29,core_ehn_250,kw::neca::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,neca,neca,neka,neca,there,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::neca::sense-1,0.95,hard c > k
30,core_ehn_250,kw::nepa::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,nepa,nepa,nepa,nepa,there,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::nepa::sense-1,0.95,identity
31,core_ehn_250,kw::nica::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,nica,nica,nika,nica,here,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::nica::sense-1,0.95,hard c > k
32,core_ehn_250,kw::nicani::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,nicani,nicani,nikani,nicani,here,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::nicani::sense-1,0.95,hard c > k
33,core_ehn_250,kw::nopano::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,nopano,nopano,nopano,nopano,there,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::nopano::sense-1,0.95,identity
34,core_ehn_250,kw::tlen::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tlen,tlen,tlen,tlen,what,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlen::sense-2,0.95,identity
35,core_ehn_250,kw::yalhuaya::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,yalhuaya,yalhuaya,yalwaya,yalhuaya,yesterday,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::yalhuaya::sense-1,0.95,hu> w before vowel
36,core_ehn_250,kw::tlatzintla::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tlatzintla,tlatzintla,tlatsintla,tlatzintla,"under, below",,prep,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,140,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlatzintla::sense-1,0.95,z > s
37,core_ehn_250,kw::achi::3,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,achi,achi,achi,achi,a little,,det,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::achi::sense-3,0.95,identity
38,core_ehn_250,kw::iaxca::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,iaxca,iaxca,iaxka,iaxca,"of him, her, it",,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::iaxca::sense-2,0.95,hard c > k
39,core_ehn_250,kw::ihuaya::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,ihuaya,ihuaya,iwaya,ihuaya,"with him, her, it",,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ihuaya::sense-1,0.95,hu> w before vowel
40,core_ehn_250,kw::moaxca::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,moaxca,moaxca,moaxka,moaxca,of you,,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::moaxca::sense-1,0.95,hard c > k
41,core_ehn_250,kw::na::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,na,na,na,na,first person; I,,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::na::sense-2,0.95,identity
42,core_ehn_250,kw::naha::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,naha,naha,naha,naha,first person; I,,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::naha::sense-1,0.95,identity
43,core_ehn_250,kw::ne::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,ne,ne,ne,ne,that,,det,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ne::sense-1,0.95,identity
44,core_ehn_250,kw::ne::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,ne,ne,ne,ne,that,,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ne::sense-2,0.95,identity
45,core_ehn_250,kw::ni::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,ni,ni,ni,ni,this,,det,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ni::sense-1,0.95,identity
46,core_ehn_250,kw::ni::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,ni,ni,ni,ni,this,,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ni::sense-2,0.95,identity
47,core_ehn_250,kw::noaxca::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,noaxca,noaxca,noaxka,noaxca,of me,,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::noaxca::sense-1,0.95,hard c > k
48,core_ehn_250,kw::nochi::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,nochi,nochi,nochi,nochi,all,,det,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::nochi::sense-1,0.95,identity
49,core_ehn_250,kw::nopa::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,nopa,nopa,nopa,nopa,that,,det,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::nopa::sense-1,0.95,identity
50,core_ehn_250,kw::nopa::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,nopa,nopa,nopa,nopa,that,,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::nopa::sense-2,0.95,identity
51,core_ehn_250,kw::para-tlen::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,para tlen,para tlen,para tlen,para tlen,why?,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::para tlen::sense-1,0.95,identity
52,core_ehn_250,kw::cequinoc::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,cequinoc,cequinoc,sekinok,cequinoc,plural of ceyoc,,det,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::cequinoc::sense-1,0.95,qu > k before front vowel; soft c > s; hard c > k
53,core_ehn_250,kw::ceyoc::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,ceyoc,ceyoc,seyok,ceyoc,other,,det,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ceyoc::sense-1,0.95,soft c > s; hard c > k
54,core_ehn_250,kw::ta::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,ta,ta,ta,ta,second person; you (singular),,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ta::sense-2,0.95,identity
55,core_ehn_250,kw::taha::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,taha,taha,taha,taha,second person; you (singular),,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::taha::sense-1,0.95,identity
56,core_ehn_250,kw::tohuanti::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tohuanti,tohuanti,towanti,tohuanti,first person; we,,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tohuanti::sense-1,0.95,hu> w before vowel
57,core_ehn_250,kw::ya::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,ya,ya,ya,ya,"third person; he, she",,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ya::sense-2,0.95,identity
58,core_ehn_250,kw::yaha::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,yaha,yaha,yaha,yaha,"third person; he, she",,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::yaha::sense-1,0.95,identity
59,core_ehn_250,kw::yahaya::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,yahaya,yahaya,yahaya,yahaya,"third person; he, she",,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::yahaya::sense-1,0.95,identity
60,core_ehn_250,kw::yahuanti::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,yahuanti,yahuanti,yawanti,yahuanti,third person; they,,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::yahuanti::sense-1,0.95,hu> w before vowel
61,core_ehn_250,kw::amohuanti::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,amohuanti,amohuanti,amowanti,amohuanti,second person; you (plural),,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,135,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::amohuanti::sense-1,0.95,hu> w before vowel
62,core_ehn_250,kw::imohuanti::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,imohuanti,imohuanti,imowanti,imohuanti,second person; you (plural),,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,135,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::imohuanti::sense-1,0.95,hu> w before vowel
