pedagogical_unit_id,unit_code,lesson_number,english_lesson_unit_id,spanish_lesson_unit_id,english_lesson_title,spanish_lesson_title,target_band,domain_label,theme_en,communicative_goal,grammar_focus,lexical_focus,output_task,english_vocab_count,english_dialogue_count,english_construction_count,bilingual_vocab_count,bilingual_dialogue_count,bilingual_construction_count,b2_bridge_priority_rank,notes
FCN-PED-0001,FCN-U01,1,FCN-LSN-0010,FCN-LSN-0051,Tlamachtiliztli 1 Piltlahcuiloltzitzin (The Alphabet),Tlamachtiliztli 1 Piltlahcuiloltzitzin (El alfabeto).,A1,orthography,The Alphabet,Recognize and pronounce the core alphabet and basic sound patterns.,Core lesson constructions and reusable sentence patterns.,Core vocabulary and reusable expressions for The Alphabet.,Complete a short guided dialogue and mini self-introduction on The Alphabet.,17,0,5,40,0,5,,
FCN-PED-0002,FCN-U02,2,FCN-LSN-0011,FCN-LSN-0052,Tlamachtiliztli 2 Tlahtlaniliztli (Questions).,Tlamachtiliztli 2 Tlahtlaniliztli (Preguntas),A1,interaction,Questions,Ask and answer simple information questions in everyday exchanges.,Interrogative patterns and short-answer structures.,Core vocabulary and reusable expressions for Questions.,Complete a short guided dialogue and mini self-introduction on Questions.,8,2,2,17,5,2,,
FCN-PED-0003,FCN-U03,3,FCN-LSN-0012,FCN-LSN-0053,Tlamachtiliztli 3 ¿Quēniuhqui motōcah? (What is your name?),Tlamachtiliztli 3 ¿Quēniuhqui motōcah? (¿Cómo te llamas?),A1,identity,What is your name?,Introduce yourself and ask another person’s name.,Core lesson constructions and reusable sentence patterns.,Core vocabulary and reusable expressions for What is your name?.,Complete a short guided dialogue and mini self-introduction on What is your name?.,53,8,32,109,17,32,,
FCN-PED-0004,FCN-U04,4,FCN-LSN-0013,FCN-LSN-0054,Tlamachtiliztli 4 Īxnēzcayotl huan tlapōhualiztli (Colors and Numbers),Tlamachtiliztli 4 Īxnēzcayōtl huan tlapōhualiztli (Los colores y los números),A2,description,Colors and Numbers,Describe objects with colors and count basic quantities.,Core lesson constructions and reusable sentence patterns.,Core vocabulary and reusable expressions for Colors and Numbers.,Produce a short descriptive or transactional exchange built around Colors and Numbers.,50,2,28,99,3,28,,
FCN-PED-0005,FCN-U05,5,FCN-LSN-0014,FCN-LSN-0055,Tlamachtiliztli 5 Cehcen inintequiuh (The Professions),Tlamachtiliztli 5 Cehcen inin tequiuh (Las profesiones),A2,work,The Professions,State and ask about occupations and basic social roles.,Core lesson constructions and reusable sentence patterns.,Core vocabulary and reusable expressions for The Professions.,Produce a short descriptive or transactional exchange built around The Professions.,36,8,21,71,17,21,,
FCN-PED-0006,FCN-U06,6,FCN-LSN-0016,FCN-LSN-0057,Tlamachtiliztli 6 Tlachīhualiztli tlen ax quimānēxtia cē tlamantli (Intransitive Verbs),Tlamachtiliztli 6 Tlachīhualiztli tlen ax quimānēxtia cē tlamantli (Los verbos intransitivos),B1,grammar,Intransitive Verbs,Practice the lesson’s core construction set through controlled production tasks for Intransitive Verbs.,Intransitive verb morphology and person marking.,Core vocabulary and reusable expressions for Intransitive Verbs.,Hold a longer guided conversation or narration using the constructions from Intransitive Verbs.,24,0,8,51,0,8,5,
FCN-PED-0007,FCN-U07,7,FCN-LSN-0017,FCN-LSN-0058,Tlamachtiliztli 7 Quēn moxēloa tōnatiuh (How to divide up the day),Tlamachtiliztli 7 Quēn moxeloa tōnatiuh (Cómo se divide el día),B1,time,How to divide up the day,Build usable speech routines around How to divide up the day.,Core lesson constructions and reusable sentence patterns.,Core vocabulary and reusable expressions for How to divide up the day.,Hold a longer guided conversation or narration using the constructions from How to divide up the day.,58,0,24,117,0,24,3,
FCN-PED-0008,FCN-U08,8,FCN-LSN-0018,FCN-LSN-0059,Tlamachtiliztli 8 Noyōllo (Possessive markers),Tlamachtiliztli 8 Noyōllo (Marcadores posesivos),B1,possession,Possessive markers,Build usable speech routines around Possessive markers.,Possessive markers and possessed noun phrases.,Core vocabulary and reusable expressions for Possessive markers.,Hold a longer guided conversation or narration using the constructions from Possessive markers.,38,0,21,79,1,21,4,
FCN-PED-0009,FCN-U09,9,FCN-LSN-0019,FCN-LSN-0060,Tlamachtiliztli 9 Tēiīxmatcacuahuitl (The Family),Tlamachtiliztli 9 Tēīxmatcacuahuitl (La familia),B1,family,The Family,Describe family members and basic kin relationships.,Core lesson constructions and reusable sentence patterns.,Core vocabulary and reusable expressions for The Family.,Hold a longer guided conversation or narration using the constructions from The Family.,41,0,27,79,0,27,2,
FCN-PED-0010,FCN-U10,10,FCN-LSN-0020,FCN-LSN-0061,Tlamachtiliztli 10 Notlachiyaliz (My Appearance),Tlamachtiliztli 10 Notlachiyaliz (Mi apariencia),B1,description,My Appearance,Describe physical appearance using simple adjectives and nouns.,Core lesson constructions and reusable sentence patterns.,Core vocabulary and reusable expressions for My Appearance.,Hold a longer guided conversation or narration using the constructions from My Appearance.,38,4,28,74,9,28,1,
FCN-PED-0011,FCN-U11,11,FCN-LSN-0021,FCN-LSN-0062,Tlamachtiliztli 11 Quēmman motlahpaloa huan monāhuatihtēhua (When you greet and say farewell),Tlamachtiliztli 11 Quēmman motlahpaloa huan monāhuatihtēhua (Cuando se saluda y se despide),A1,social,When you greet and say farewell,"Manage greetings, farewells, and short social openings.",Core lesson constructions and reusable sentence patterns.,Core vocabulary and reusable expressions for When you greet and say farewell.,Complete a short guided dialogue and mini self-introduction on When you greet and say farewell.,43,19,20,89,31,20,,
FCN-PED-0012,FCN-U12,12,FCN-LSN-0022,FCN-LSN-0063,Tlamachtiliztli 12 Tlachīhualiztli tlen panoz (Future tense and indefinite verbs),Tlamachtiliztli 12 Tlachīhualiztli tlen panoz (Verbos en tiempo futuro e indefinido),A1,grammar,Future tense and indefinite verbs,Practice the lesson’s core construction set through controlled production tasks for Future tense and indefinite verbs.,Future and indefinite verbal morphology.,Core vocabulary and reusable expressions for Future tense and indefinite verbs.,Complete a short guided dialogue and mini self-introduction on Future tense and indefinite verbs.,39,0,17,84,0,17,,
FCN-PED-0013,FCN-U13,13,FCN-LSN-0023,FCN-LSN-0064,Tlamachtiliztli 13 Tlachīhualiztli tlen quimānēxtia ācquiya quīchihua cē tlamantli (Verbs with specific object),Tlamachtiliztli 13 Tlachīhualiztli tlen quimanēxtia ācquiya quichīhua cē tlamantli (Verbos con objetos específicos),A1,grammar,Verbs with specific object,Practice the lesson’s core construction set through controlled production tasks for Verbs with specific object.,Object marking and argument structure.,Core vocabulary and reusable expressions for Verbs with specific object.,Complete a short guided dialogue and mini self-introduction on Verbs with specific object.,43,0,19,85,0,19,,
FCN-PED-0014,FCN-U14,14,FCN-LSN-0024,FCN-LSN-0065,Tlamachtiliztli 14 Tlachīhualiztli tlen panoc Part 1 (Past Tense Verbs Part 1),Tlamachtiliztli 14 Tlachīhualiztli tlen panoc. Parte 1 (Verbos en tiempo pretérito Parte 1),A2,grammar,Past Tense Verbs Part 1,Practice the lesson’s core construction set through controlled production tasks for Past Tense Verbs Part 1.,Past-tense verbal morphology.,Core vocabulary and reusable expressions for Past Tense Verbs Part 1.,Produce a short descriptive or transactional exchange built around Past Tense Verbs Part 1.,6,0,3,17,0,3,,
FCN-PED-0015,FCN-U15,15,FCN-LSN-0025,FCN-LSN-0066,"Tlamachtiliztli 15 Tlachīhualiztli tlen panoc, Part 2 (Past Tense Verbs Part 2)",Tlamachtiliztli 15 Tlachīhualiztli tlen panoc. Parte 2 (Verbos en tiempo pretérito Parte 2),A2,grammar,Past Tense Verbs Part 2,Practice the lesson’s core construction set through controlled production tasks for Past Tense Verbs Part 2.,Past-tense verbal morphology.,Core vocabulary and reusable expressions for Past Tense Verbs Part 2.,Produce a short descriptive or transactional exchange built around Past Tense Verbs Part 2.,54,0,51,113,0,51,,
FCN-PED-0016,FCN-U16,16,FCN-LSN-0026,FCN-LSN-0067,Tlamachtiliztli 16 Tlachīhualiztli tlen panoc. Part 3 (Past Tense Verbs Part 3),Tlamachtiliztli 16 Tlachīhualiztli tlen panoc. Parte 3 (Verbos en tiempo pretérito Parte 3),B1,grammar,Past Tense Verbs Part 3,Practice the lesson’s core construction set through controlled production tasks for Past Tense Verbs Part 3.,Past-tense verbal morphology.,Core vocabulary and reusable expressions for Past Tense Verbs Part 3.,Hold a longer guided conversation or narration using the constructions from Past Tense Verbs Part 3.,55,0,4,116,0,4,6,
FCN-PED-0017,FCN-U17,17,FCN-LSN-0027,FCN-LSN-0068,Tlamachtiliztli 17 Na nimocehuia pan cuaciyah (I Sit in the Chair),Tlamachtiliztli 17 Na nimocēhuia pan cuaciyah (Yo me siento en la silla),B1,daily_actions,I Sit in the Chair,Build usable speech routines around I Sit in the Chair.,Core lesson constructions and reusable sentence patterns.,Core vocabulary and reusable expressions for I Sit in the Chair.,Hold a longer guided conversation or narration using the constructions from I Sit in the Chair.,26,3,0,62,6,0,11,
FCN-PED-0018,FCN-U18,18,FCN-LSN-0028,FCN-LSN-0069,Tlamachtiliztli 18 Tlen nicāmati huan tlen ax nicāmati (What I Like and Do Not Like),Tlamachtiliztli 18 Tlen nicāmati huan tlen ax nicāmati (Que me gusta y no me gusta hacer),B1,general,What I Like and Do Not Like,Build usable speech routines around What I Like and Do Not Like.,Core lesson constructions and reusable sentence patterns.,Core vocabulary and reusable expressions for What I Like and Do Not Like.,Hold a longer guided conversation or narration using the constructions from What I Like and Do Not Like.,35,3,0,65,6,0,10,
FCN-PED-0019,FCN-U19,19,FCN-LSN-0029,FCN-LSN-0070,Tlamachtiliztli 19 Ximoquētza (Stand Up!),Tlamachtiliztli 19 Ximoquētza (¡Levántate!),B1,commands,Stand Up!,Build usable speech routines around Stand Up!.,Core lesson constructions and reusable sentence patterns.,Core vocabulary and reusable expressions for Stand Up!.,Hold a longer guided conversation or narration using the constructions from Stand Up!.,82,14,0,153,27,0,7,
FCN-PED-0020,FCN-U20,20,FCN-LSN-0030,FCN-LSN-0071,Tlamachtiliztli 20 Tlahtoltēcpānalitzli -pil huan -tzin (The Grammar of -pil and -tzin),Tlamachtiliztli 20 Tlahtoltēcpanalitzli -pil huan -tzin (La gramática del -pil y -tzin),A1,grammar,The Grammar of -pil and -tzin,Practice the lesson’s core construction set through controlled production tasks for The Grammar of -pil and -tzin.,Nominal derivation and discourse nuance in learned forms.,Core vocabulary and reusable expressions for The Grammar of -pil and -tzin.,Complete a short guided dialogue and mini self-introduction on The Grammar of -pil and -tzin.,56,2,0,116,4,0,,
FCN-PED-0021,FCN-U21,21,FCN-LSN-0031,FCN-LSN-0072,Tlamachtiliztli 21 Tlen ticpiyah pan millah (What We Have in the Field),Tlamachtiliztli 21 Tlen ticpiyah pan mīllah (Lo que tenemos en la milpa),A1,rural_life,What We Have in the Field,Build usable speech routines around What We Have in the Field.,Core lesson constructions and reusable sentence patterns.,Core vocabulary and reusable expressions for What We Have in the Field.,Complete a short guided dialogue and mini self-introduction on What We Have in the Field.,77,4,0,164,11,0,,
FCN-PED-0022,FCN-U22,22,FCN-LSN-0032,FCN-LSN-0073,Tlamachtiliztli 22 Tomīllah huah totlacualiz (Our Cornfield and Our Food),Tlamachtiliztli 22 Tomillāh huah totlacualiz (Nuestra milpa y nuestra comida),A1,rural_life,Our Cornfield and Our Food,Build usable speech routines around Our Cornfield and Our Food.,Core lesson constructions and reusable sentence patterns.,Core vocabulary and reusable expressions for Our Cornfield and Our Food.,Complete a short guided dialogue and mini self-introduction on Our Cornfield and Our Food.,224,5,0,452,10,0,,
FCN-PED-0023,FCN-U23,23,FCN-LSN-0033,FCN-LSN-0074,Tlamachtiliztli 23 Tlen eltoc calihtic (What is Inside the House),Tlamachtiliztli 23 Tlen eltoc calihtic (Que hay dentro de la casa),A1,home,What is Inside the House,Build usable speech routines around What is Inside the House.,Core lesson constructions and reusable sentence patterns.,Core vocabulary and reusable expressions for What is Inside the House.,Complete a short guided dialogue and mini self-introduction on What is Inside the House.,91,2,0,187,5,0,,
FCN-PED-0024,FCN-U24,24,FCN-LSN-0034,FCN-LSN-0075,"Tlamachtiliztli 24 Niihhuia pan āltepētl, Part 1 (I Had Gone to the City Part 1)",Tlamachtiliztli 24 Niihhuia pan āltepētl Part 1 (Yo había ido a la ciudad Part 1),A2,travel,I Had Gone to the City Part 1,Build usable speech routines around I Had Gone to the City Part 1.,Core lesson constructions and reusable sentence patterns.,Core vocabulary and reusable expressions for I Had Gone to the City Part 1.,Produce a short descriptive or transactional exchange built around I Had Gone to the City Part 1.,120,1,0,213,2,0,,
FCN-PED-0025,FCN-U25,25,FCN-LSN-0035,FCN-LSN-0076,Tlamachtiliztli 25 Niihhuia pan altepētl Part 2 (I Had Gone to the City Part 2),Tlamachtiliztli 25 Niihhuia pan āltepētl Parte 2 (Yo había ido a la ciudad Parte 2),A2,travel,I Had Gone to the City Part 2,Build usable speech routines around I Had Gone to the City Part 2.,Core lesson constructions and reusable sentence patterns.,Core vocabulary and reusable expressions for I Had Gone to the City Part 2.,Produce a short descriptive or transactional exchange built around I Had Gone to the City Part 2.,74,1,0,139,2,0,,
FCN-PED-0026,FCN-U26,26,FCN-LSN-0036,FCN-LSN-0077,Tlamachtiliztli 26 Niquicōhuaco cē tlaxcalyoyomitl (I Came to Buy a Tortilla Napkin),Tlamachtiliztli 26 Niquicōhuaco cē tlaxcalyoyomitl (Yo vine a comprar una servilleta de tortillas),B1,general,I Came to Buy a Tortilla Napkin,"Handle simple buying, asking, and exchange interactions.",Core lesson constructions and reusable sentence patterns.,Core vocabulary and reusable expressions for I Came to Buy a Tortilla Napkin.,Hold a longer guided conversation or narration using the constructions from I Came to Buy a Tortilla Napkin.,43,1,0,91,2,0,13,
FCN-PED-0027,FCN-U27,27,FCN-LSN-0037,FCN-LSN-0078,Tlamachtiliztli 27 Namantzin eltoc tiānquiz (It’s market day today!),Tlamachtiliztli 27 Namantzin eltoc tiānquiz (Ahorita hay mercado),B1,time,It’s market day today!,"Handle simple buying, asking, and exchange interactions.",Core lesson constructions and reusable sentence patterns.,Core vocabulary and reusable expressions for It’s market day today!.,Hold a longer guided conversation or narration using the constructions from It’s market day today!.,62,1,0,124,2,0,12,
FCN-PED-0028,FCN-U28,28,FCN-LSN-0038,FCN-LSN-0079,Tlamachtiliztli 28 Nipanoyaya mochān (I Was Passing By Your House),Tlamachtiliztli 28 Nipanoyaya mochān (Yo pasaba por tu casa),B1,home,I Was Passing By Your House,Build usable speech routines around I Was Passing By Your House.,Core lesson constructions and reusable sentence patterns.,Core vocabulary and reusable expressions for I Was Passing By Your House.,Hold a longer guided conversation or narration using the constructions from I Was Passing By Your House.,81,3,0,147,6,0,9,
FCN-PED-0029,FCN-U29,29,FCN-LSN-0039,FCN-LSN-0080,Tlamachtiliztli 29 ¿Tlen cocōliztli tiquixmati? (What Illnesses Do You Know?),Tlamachtiliztli 29 ¿Tlen cocōliztli tiquixmati? (¿Cuáles enfermedades conoces?),B1,health,What Illnesses Do You Know?,"Talk about common illnesses, symptoms, and basic health topics.",Core lesson constructions and reusable sentence patterns.,Core vocabulary and reusable expressions for What Illnesses Do You Know?.,Hold a longer guided conversation or narration using the constructions from What Illnesses Do You Know?.,107,3,0,211,6,0,8,
FCN-PED-0030,FCN-U30,30,FCN-LSN-0040,FCN-LSN-0081,"Tlamachtiliztli 30 -zquia, -tozquia (The conditional, Part 1)",Tlamachtiliztli 30 Los sufijos -zquia y -tozquia (El modo condicional Parte 1),A1,grammar,"The conditional, Part 1","Practice the lesson’s core construction set through controlled production tasks for The conditional, Part 1.",Conditional morphology and controlled hypothetical clauses.,"Core vocabulary and reusable expressions for The conditional, Part 1.","Complete a short guided dialogue and mini self-introduction on The conditional, Part 1.",38,0,0,85,0,0,,
FCN-PED-0031,FCN-U31,31,FCN-LSN-0041,FCN-LSN-0082,"Tlamachtiliztli 31 Tlacotōntli huan tlaochpanāliztli: Cleansing ceremonies, the conditional. Part 2)",Tlamachtiliztli 31 Tlacotōntli huan Tlaochpānaliztli (Las ceremonias de limpia. El condicional Parte 2),A1,grammar,"Tlacotōntli huan tlaochpanāliztli: Cleansing ceremonies, the conditional. Part 2)","Practice the lesson’s core construction set through controlled production tasks for Tlacotōntli huan tlaochpanāliztli: Cleansing ceremonies, the conditional. Part 2).",Conditional morphology and controlled hypothetical clauses.,"Core vocabulary and reusable expressions for Tlacotōntli huan tlaochpanāliztli: Cleansing ceremonies, the conditional. Part 2).","Complete a short guided dialogue and mini self-introduction on Tlacotōntli huan tlaochpanāliztli: Cleansing ceremonies, the conditional. Part 2).",139,2,0,281,4,0,,
FCN-PED-0032,FCN-U32,32,FCN-LSN-0042,FCN-LSN-0083,"Tlamachtiliztli 32 Tē- and tla-: Non-specific object markers, Part 1",Tlamachtiliztli 32 Tē- y tla- (Objetos no específicos. Parte 1),A1,grammar,"Tē- and tla-: Non-specific object markers, Part 1","Practice the lesson’s core construction set through controlled production tasks for Tē- and tla-: Non-specific object markers, Part 1.",Object marking and argument structure.,"Core vocabulary and reusable expressions for Tē- and tla-: Non-specific object markers, Part 1.","Complete a short guided dialogue and mini self-introduction on Tē- and tla-: Non-specific object markers, Part 1.",35,0,0,69,0,0,,
