lesson_number,english_lesson_unit_id,english_lesson_title,english_lesson_order,spanish_lesson_unit_id,spanish_lesson_title,spanish_lesson_order,target_band
1,FCN-LSN-0010,Tlamachtiliztli 1 Piltlahcuiloltzitzin (The Alphabet),10,FCN-LSN-0051,Tlamachtiliztli 1 Piltlahcuiloltzitzin (El alfabeto).,51,A1
2,FCN-LSN-0011,Tlamachtiliztli 2 Tlahtlaniliztli (Questions).,11,FCN-LSN-0052,Tlamachtiliztli 2 Tlahtlaniliztli (Preguntas),52,A1
3,FCN-LSN-0012,Tlamachtiliztli 3 ¿Quēniuhqui motōcah? (What is your name?),12,FCN-LSN-0053,Tlamachtiliztli 3 ¿Quēniuhqui motōcah? (¿Cómo te llamas?),53,A1
4,FCN-LSN-0013,Tlamachtiliztli 4 Īxnēzcayotl huan tlapōhualiztli (Colors and Numbers),13,FCN-LSN-0054,Tlamachtiliztli 4 Īxnēzcayōtl huan tlapōhualiztli (Los colores y los números),54,A2
5,FCN-LSN-0014,Tlamachtiliztli 5 Cehcen inintequiuh (The Professions),14,FCN-LSN-0055,Tlamachtiliztli 5 Cehcen inin tequiuh (Las profesiones),55,A2
6,FCN-LSN-0016,Tlamachtiliztli 6 Tlachīhualiztli tlen ax quimānēxtia cē tlamantli (Intransitive Verbs),16,FCN-LSN-0057,Tlamachtiliztli 6 Tlachīhualiztli tlen ax quimānēxtia cē tlamantli (Los verbos intransitivos),57,B1
7,FCN-LSN-0017,Tlamachtiliztli 7 Quēn moxēloa tōnatiuh (How to divide up the day),17,FCN-LSN-0058,Tlamachtiliztli 7 Quēn moxeloa tōnatiuh (Cómo se divide el día),58,B1
8,FCN-LSN-0018,Tlamachtiliztli 8 Noyōllo (Possessive markers),18,FCN-LSN-0059,Tlamachtiliztli 8 Noyōllo (Marcadores posesivos),59,B1
9,FCN-LSN-0019,Tlamachtiliztli 9 Tēiīxmatcacuahuitl (The Family),19,FCN-LSN-0060,Tlamachtiliztli 9 Tēīxmatcacuahuitl (La familia),60,B1
10,FCN-LSN-0020,Tlamachtiliztli 10 Notlachiyaliz (My Appearance),20,FCN-LSN-0061,Tlamachtiliztli 10 Notlachiyaliz (Mi apariencia),61,B1
11,FCN-LSN-0021,Tlamachtiliztli 11 Quēmman motlahpaloa huan monāhuatihtēhua (When you greet and say farewell),21,FCN-LSN-0062,Tlamachtiliztli 11 Quēmman motlahpaloa huan monāhuatihtēhua (Cuando se saluda y se despide),62,A1
12,FCN-LSN-0022,Tlamachtiliztli 12 Tlachīhualiztli tlen panoz (Future tense and indefinite verbs),22,FCN-LSN-0063,Tlamachtiliztli 12 Tlachīhualiztli tlen panoz (Verbos en tiempo futuro e indefinido),63,A1
13,FCN-LSN-0023,Tlamachtiliztli 13 Tlachīhualiztli tlen quimānēxtia ācquiya quīchihua cē tlamantli (Verbs with specific object),23,FCN-LSN-0064,Tlamachtiliztli 13 Tlachīhualiztli tlen quimanēxtia ācquiya quichīhua cē tlamantli (Verbos con objetos específicos),64,A1
14,FCN-LSN-0024,Tlamachtiliztli 14 Tlachīhualiztli tlen panoc Part 1 (Past Tense Verbs Part 1),24,FCN-LSN-0065,Tlamachtiliztli 14 Tlachīhualiztli tlen panoc. Parte 1 (Verbos en tiempo pretérito Parte 1),65,A2
15,FCN-LSN-0025,"Tlamachtiliztli 15 Tlachīhualiztli tlen panoc, Part 2 (Past Tense Verbs Part 2)",25,FCN-LSN-0066,Tlamachtiliztli 15 Tlachīhualiztli tlen panoc. Parte 2 (Verbos en tiempo pretérito Parte 2),66,A2
16,FCN-LSN-0026,Tlamachtiliztli 16 Tlachīhualiztli tlen panoc. Part 3 (Past Tense Verbs Part 3),26,FCN-LSN-0067,Tlamachtiliztli 16 Tlachīhualiztli tlen panoc. Parte 3 (Verbos en tiempo pretérito Parte 3),67,B1
17,FCN-LSN-0027,Tlamachtiliztli 17 Na nimocehuia pan cuaciyah (I Sit in the Chair),27,FCN-LSN-0068,Tlamachtiliztli 17 Na nimocēhuia pan cuaciyah (Yo me siento en la silla),68,B1
18,FCN-LSN-0028,Tlamachtiliztli 18 Tlen nicāmati huan tlen ax nicāmati (What I Like and Do Not Like),28,FCN-LSN-0069,Tlamachtiliztli 18 Tlen nicāmati huan tlen ax nicāmati (Que me gusta y no me gusta hacer),69,B1
19,FCN-LSN-0029,Tlamachtiliztli 19 Ximoquētza (Stand Up!),29,FCN-LSN-0070,Tlamachtiliztli 19 Ximoquētza (¡Levántate!),70,B1
20,FCN-LSN-0030,Tlamachtiliztli 20 Tlahtoltēcpānalitzli -pil huan -tzin (The Grammar of -pil and -tzin),30,FCN-LSN-0071,Tlamachtiliztli 20 Tlahtoltēcpanalitzli -pil huan -tzin (La gramática del -pil y -tzin),71,A1
21,FCN-LSN-0031,Tlamachtiliztli 21 Tlen ticpiyah pan millah (What We Have in the Field),31,FCN-LSN-0072,Tlamachtiliztli 21 Tlen ticpiyah pan mīllah (Lo que tenemos en la milpa),72,A1
22,FCN-LSN-0032,Tlamachtiliztli 22 Tomīllah huah totlacualiz (Our Cornfield and Our Food),32,FCN-LSN-0073,Tlamachtiliztli 22 Tomillāh huah totlacualiz (Nuestra milpa y nuestra comida),73,A1
23,FCN-LSN-0033,Tlamachtiliztli 23 Tlen eltoc calihtic (What is Inside the House),33,FCN-LSN-0074,Tlamachtiliztli 23 Tlen eltoc calihtic (Que hay dentro de la casa),74,A1
24,FCN-LSN-0034,"Tlamachtiliztli 24 Niihhuia pan āltepētl, Part 1 (I Had Gone to the City Part 1)",34,FCN-LSN-0075,Tlamachtiliztli 24 Niihhuia pan āltepētl Part 1 (Yo había ido a la ciudad Part 1),75,A2
25,FCN-LSN-0035,Tlamachtiliztli 25 Niihhuia pan altepētl Part 2 (I Had Gone to the City Part 2),35,FCN-LSN-0076,Tlamachtiliztli 25 Niihhuia pan āltepētl Parte 2 (Yo había ido a la ciudad Parte 2),76,A2
26,FCN-LSN-0036,Tlamachtiliztli 26 Niquicōhuaco cē tlaxcalyoyomitl (I Came to Buy a Tortilla Napkin),36,FCN-LSN-0077,Tlamachtiliztli 26 Niquicōhuaco cē tlaxcalyoyomitl (Yo vine a comprar una servilleta de tortillas),77,B1
27,FCN-LSN-0037,Tlamachtiliztli 27 Namantzin eltoc tiānquiz (It’s market day today!),37,FCN-LSN-0078,Tlamachtiliztli 27 Namantzin eltoc tiānquiz (Ahorita hay mercado),78,B1
28,FCN-LSN-0038,Tlamachtiliztli 28 Nipanoyaya mochān (I Was Passing By Your House),38,FCN-LSN-0079,Tlamachtiliztli 28 Nipanoyaya mochān (Yo pasaba por tu casa),79,B1
29,FCN-LSN-0039,Tlamachtiliztli 29 ¿Tlen cocōliztli tiquixmati? (What Illnesses Do You Know?),39,FCN-LSN-0080,Tlamachtiliztli 29 ¿Tlen cocōliztli tiquixmati? (¿Cuáles enfermedades conoces?),80,B1
30,FCN-LSN-0040,"Tlamachtiliztli 30 -zquia, -tozquia (The conditional, Part 1)",40,FCN-LSN-0081,Tlamachtiliztli 30 Los sufijos -zquia y -tozquia (El modo condicional Parte 1),81,A1
31,FCN-LSN-0041,"Tlamachtiliztli 31 Tlacotōntli huan tlaochpanāliztli: Cleansing ceremonies, the conditional. Part 2)",41,FCN-LSN-0082,Tlamachtiliztli 31 Tlacotōntli huan Tlaochpānaliztli (Las ceremonias de limpia. El condicional Parte 2),82,A1
32,FCN-LSN-0042,"Tlamachtiliztli 32 Tē- and tla-: Non-specific object markers, Part 1",42,FCN-LSN-0083,Tlamachtiliztli 32 Tē- y tla- (Objetos no específicos. Parte 1),83,A1
